initials,date,course_id,time(m),summary
JNT,1/9/2022,MATH-340-01,10,review SOA Exam P syllabus 
JNT,1/9/2022,DS-160-01,35,read ch1 
JNT,1/11/2022,DS-160-01,15,read ch1 
JNT,1/12/2022,ANTH-241H-01,5,watch video on NAFTA
JNT,1/12/2022,ANTH-241H-01,25,read Making the United States ch2
JNT,1/14/2022,ANTH-241H-01,15,Toe Tag 
JNT,1/17/2022,ANTH-241H-01,45,read ch2
JNT,1/17/2022,MATH-315-01,75,HW #1
JNT,1/17/2022,MATH-340-01,40,Study for quiz 1
JNT,1/17/2022,ANTH-241H-01,25,read The Massace at El Mozote ch1
JNT,1/19/2022,MATH-340-01,15,Study for quiz 1
JNT,1/19/2022,ANTH-241H-01,35,read MEM ch2-5
JNT,1/20/2022,DS-160-01,60,read ch 3
JNT,1/22/2022,DS-160-01,75,read ch5
JNT,1/23/2022,ANTH-241H-01,65,Toe Tag 
JNT,1/23/2022,ANTH-241H-01,80,read ch 6-9 and questions
JNT,1/23/2022,MATH-340-01,20,practice problems
JNT,1/24/2022,ANTH-241H-01,45,read ch 6-9 and questions
JNT,1/25/2022,MATH-315-01,90,HW #2
JNT,1/25/2022,DS-160-01,30,Look over ch 5
JNT,1/27/2022,MATH-340-01,45,Study for quiz 2
JNT,1/27/2022,ANTH-241H-01,60, read child migration 
JNT,1/29/2022,MATH-340-01,60,practice problems
JNT,1/29/2022,MATH-315-01,50,practice problems
JNT,1/30/2022,MATH-340-01,30,practice problems
JNT,1/30/2022,ANTH-241H-01,70,read Divded by the Wall
JNT,2/1/2022,MATH-315-01,100,HW #3
JNT,2/1/2022,ANTH-241H-01,50,The Land of Open Graves Part One
JNT,2/2/2022,ANTH-241H-01,150,The Land of Open Graves Part One
JNT,2/3/2022,DS-160-01,10,individual project 2
JNT,2/4/2022,MATH-340-01,150,practice problems
JNT,2/6/2022,ANTH-241H-01,200,The Land of Open Graves Part Two
JNT,2/6/2022,MATH-340-01,50,study for quiz 3
JNT,2/6/2022,DS-160-01,10,individual project 2
JNT,2/7/2022,ANTH-241H-01,25,The Land of Open Graves Part Two
JNT,2/7/2022,MATH-340-01,30,study for quiz 3
JNT,2/8/2022,MATH-315-01,280,study for test 1
JNT,2/8/2022,DS-160-01,200,individual project 2
JNT,2/10/2022,DS-160-01,50,individual project 2
JNT,2/10/2022,MATH-340-01,30,study for quiz 4
JNT,2/11/2022,MATH-340-01,20,study for quiz 4
JNT,2/13/2022,ANTH-241H-01,75,Land Becomes A River part one
JNT,2/14/2022,ANTH-241H-01,45,Land Becomes A River part one
JNT,2/15/2022,MATH-315-01,110,HW #5
JNT,2/15/2022,MATH-340-01,30,practice problems
JNT,2/15/2022,ANTH-241H-01,100,Land Becomes A River part two
JNT,2/16/2022,ANTH-241H-01,40,Land Becomes A River part two
JNT,2/16/2022,DS-160-01,30,individual project 3
JNT,2/17/2022,DS-160-01,360,individual project 3
JNT,2/18/2022,MATH-340-01,30,study for quiz 5
JNT,2/19/2022,ANTH-241H-01,20,Land Becomes A River part three
JNT,2/20/2022,MATH-340-01,40,study for test 1
JNT,2/20/2022,ANTH-241H-01,90,Land Becomes A River part three
JNT,2/21/2022,ANTH-241H-01,60,Land Becomes A River part three
JNT,2/21/2022,MATH-340-01,30,study for test 1
JNT,2/22/2022,MATH-340-01,200,study for test 1
JNT,2/22/2022,DS-160-01,30,study for test 1
JNT,2/23/2022,DS-160-01,30,study for test 1
JNT,2/24/2022,DS-160-01,300,written essay for test 1
JNT,2/24/2022,DS-160-01,90,study for test 1
JNT,2/26/2022,MATH-340-01,30,practice problems
JNT,2/27/2022,ANTH-241H-01,15,Diary day 1
JNT,2/28/2022,ANTH-241H-01,15,Diary day 2
JNT,3/1/2022,ANTH-241H-01,15,Diary day 3
JNT,3/2/2022,ANTH-241H-01,15,Diary day 4
JNT,3/3/2022,ANTH-241H-01,15,Diary day 5
JNT,3/5/2022,MATH-340-01,20,practice problems
